,title,author_info,rating,pros,cons,helpful
0,Volkswagen of Freehold,"Oct 7, 2015 - Cashier/Receptionist in Freehold, NJ",1.0,"Work was easy, night shift barely anything to do","Hours, No vacation time, management at the time was awful",Be the first to find this review helpful
1,Compliance,"May 18, 2018 - NONE in Herndon, VA",1.0,Friendly staff and good hours,Completely white male dominated and no upward mobility,1 person found this review helpful
2,dont do it!!!,"Oct 5, 2016 - Sales Representative in Dothan, AL",1.0,can be decent money if you're good at prospecting,LONG HOURS COMPLETELY COMMISSION BASED DISHONEST PRACTICES,Be the first to find this review helpful
3,Great Work Culture & Team,"Mar 14, 2022 - CHIEF MANAGER in Mumbai",5.0,Have experienced a good working culture over there ; Amazing co workers,Honestly there is nothing to comment upon the Cons,Be the first to find this review helpful
4,Ok,"Mar 18, 2022 - Quality Engineer in Bratislava",3.0,"13, 14 salary Green koncern Modern offices Flexible hours at my place","Too many byrocracy, too long Not stable place, racios Too little people, minimum hiring Lots of micromanagement",Be the first to find this review helpful
5,perfect,"Mar 8, 2022 - Graduate Student",5.0,home office is a really good option and flexible work time,too much work at the beginning,Be the first to find this review helpful
6,Great company,"Mar 9, 2022 - Sales Executive in Cardiff, Wales",5.0,good pay and management structure,dont have any cons to talk about,Be the first to find this review helpful
7,"Really nice working environment, topics and young people","Mar 3, 2022 - Werkstudent Data Scientist",5.0,--> Nice working environment --> Very interesting topics & projects,Not really any cons apart from typical paper work at big companies,Be the first to find this review helpful
8,Good working environment with nice team,"Mar 18, 2022 - Senior Analyst in Beijing, Beijing",4.0,"Good work life balance, nice team, many learning opportunities",Slow decision-making process; limited chance for rotation,Be the first to find this review helpful
9,Best employer,"Mar 2, 2022 - Project Manager Systems Verification",5.0,Perfect place to work ever,Nothing much to really highlight,Be the first to find this review helpful
10,good,"Feb 17, 2022 - Anonymous Employee",5.0,good workplace environment and friendly,mandatory unpaid overtime which is not great,Be the first to find this review helpful
11,Owner of Product in company and market,"Mar 7, 2022 - Senior Product Manager in Pune",4.0,"Right processes, optimum opportunity, respect for work and values culture","Lobby inside, disproportionate selective growth,",Be the first to find this review helpful
12,It was good,"Mar 11, 2022 - Product Specialist",4.0,Great product and nice perks,Customers don’t like car sales people,Be the first to find this review helpful
13,Projekt ma,"Mar 10, 2022 - Project Manager",3.0,The company use many additional tools,It have too much hierarchy,Be the first to find this review helpful
14,VG BA,"Feb 10, 2022 - Business Analyst in Bedok New Town,",5.0,High exposures and Good benefits,too tired too tired too tired,Be the first to find this review helpful
15,Supervisor,"Mar 2, 2022 - Supervisor in São Paulo, São Paulo",3.0,Good company lots of opportunity,Too much politics in the company,Be the first to find this review helpful
16,VW Shanghai,"Feb 22, 2022 - Engineer",4.0,"Good work life balance, not very busy","Slow salary increase, slow promotion",Be the first to find this review helpful
17,Assembly planning specialist,"Feb 26, 2022 - Planning Specialist in Bratislava",3.0,"big projects, creative work, flexible worktime",lots of stress and pressure,Be the first to find this review helpful
18,Great place to work,"Jan 15, 2022 - Receptionist",5.0,"Flexible scheduling, great coworkers, brand you can be proud about.",Customers are usually difficult to deal with.,Be the first to find this review helpful
19,Good Company,"Jan 19, 2022 - Anonymous Employee",5.0,"Good culture, people are friendly and polite.","Not very transparent, a lot of pressure",Be the first to find this review helpful
20,VWSA,"Dec 15, 2021 - Senior Team LEader in Port Elizabeth",4.0,good working climate and many perks,"long hours and overtime, structure of global corporation",Be the first to find this review helpful
21,stable and giant company,"Dec 14, 2021 - Logistics Manager in Shanghai, Shanghai",4.0,good pay for the young staff,lack of opportunity to promotion,Be the first to find this review helpful
22,Good,"Dec 12, 2021 - Product Manager in Milton Keynes, England",4.0,Development Opportunities & desirable brand / product,Old fashioned culture & Renumeration,Be the first to find this review helpful
23,good company,"Nov 25, 2021 - Manager in Coventry, England",5.0,"I like this company, good leader.",I dont like the food in the company,Be the first to find this review helpful
24,Senior Manager,"Nov 24, 2021 - Anonymous Employee in Pune",5.0,Good worklife balance and good culture,Bad middle management and delay in decision,Be the first to find this review helpful
25,Enjoyable,"Nov 23, 2021 - Administrative Assistant",5.0,"Professional environment, great work life balance",Nothing that comes to my mind,Be the first to find this review helpful
26,How does it feel like,"Nov 15, 2021 - Supply Chain Manager in Beijing, Beijing",5.0,- good culture - nice people - clear career path,growth in salary is slow,Be the first to find this review helpful
27,Great employer,"Nov 29, 2021 - Mechanical Engineer in Lisbon, Lisbon",4.0,Great employer with great challenges,there are no cons in VW,Be the first to find this review helpful
28,Nice place to wirk,"Nov 26, 2021 - Digital Marketing Manager in Dublin, Dublin",4.0,"Nice team culture, good exposure to a well known brand","Salaries not great, progression only happens to the lucky few",1 person found this review helpful
29,Excellent company,"Nov 14, 2021 - Software Engineer in Pune",5.0,Best company to join anytime,Nothing but expetation to develop new things are high,Be the first to find this review helpful
30,Company that appreciates its employees,"Nov 9, 2021 - Automotive Sales in Sydney",5.0,Good working environment with the-best-value-for-money product,Work on the weekends and holidays,Be the first to find this review helpful
31,Wonderful Company,"Nov 9, 2021 - Intern in Wolfsburg, Lower Saxony",5.0,"Location, Global Company, Colleagues, Work and Transparent recruiting",Nothing to write here. As everything was perfect.,Be the first to find this review helpful
32,Salary,"Nov 9, 2021 - Car Salesman in Kildare",5.0,Good commission and nice cars,Long hours and challenging targets,Be the first to find this review helpful
33,no,"Nov 18, 2021 - Credit Analyst in Pune",4.0,it is nice company nice reputation,it is not a good managment,Be the first to find this review helpful
34,Great Opportunity!,"Nov 1, 2021 - Internship in Taipei",5.0,Learn a lot from an international company's views. project planning hr operation,a little bit too stressful,Be the first to find this review helpful
35,great people to work with.,"Nov 15, 2021 - Receptionist",4.0,Great people to work with. Great environment.,They overwork their employees and demand a lot for what they compensate.,Be the first to find this review helpful
